objectid,calle,codigo,foto,geo_shape,geo_point_2d
39,ALFONS VERDEGUER (PARKING),454,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/454.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38983899407652256, 39.48541259676053], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38983899407652256, 'lat': 39.48541259676053}"
40,"PARQUE DE MARCHALENES 6ª ( HIGUERA ,JUNTO COLUMPIOS )",533,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/533.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.383017002929729, 39.488170622182274], 'type': 'Point'}, 'properties': {}}","{'lon': -0.383017002929729, 'lat': 39.488170622182274}"
44,SOCIOPOLIS-DENTRO HUERTO ECOLOGICO,1954,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1954.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39796000723059655, 39.43228912269275], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39796000723059655, 'lat': 39.43228912269275}"
50,CEMENTERIO GENERAL SEC 13,C110,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C110.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40093100133706566, 39.44729614164108], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40093100133706566, 'lat': 39.44729614164108}"
51,PAI MALILLA 1ª-JUNTO ZONA CAN,1053,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1053.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37428298558446804, 39.44750595035842], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37428298558446804, 'lat': 39.44750595035842}"
53,PINTOR MAELLA / GARCIA BERLANGA,1224,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1224.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.34902900457549163, 39.45789337058168], 'type': 'Point'}, 'properties': {}}","{'lon': -0.34902900457549163, 'lat': 39.45789337058168}"
60,TORRETA DE MIRAMAR,1402,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1402.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3623380061430028, 39.487995146361136], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3623380061430028, 'lat': 39.487995146361136}"
62,"MURTA, 5 (VIERNES NO)",1405,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1405.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.35886299581382897, 39.48618316536628], 'type': 'Point'}, 'properties': {}}","{'lon': -0.35886299581382897, 'lat': 39.48618316536628}"
64,"ARQUITECTO RODRIGUEZ, 22",1511,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1511.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37002098570078945, 39.49306106540289], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37002098570078945, 'lat': 39.49306106540289}"
66,PLAZA IGLESIA DE PINEDO,1918,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1918.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3394379916394884, 39.42215347270202], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3394379916394884, 'lat': 39.42215347270202}"
72,PAI MALILLA 5ª- JUNTO HUERTOS,1057,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1057.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3753269903677011, 39.44754791233607], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3753269903677011, 'lat': 39.44754791233607}"
73,PASEO MARITIMO 3ª ( JUNTO DELFINES),1103,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1103.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3245860046629924, 39.47460555960761], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3245860046629924, 'lat': 39.47460555960761}"
77,ISLA DE HIERRO-RIO JILOCA-( JARDIN ),1149,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1149.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.328258990906103, 39.48262786846643], 'type': 'Point'}, 'properties': {}}","{'lon': -0.328258990906103, 'lat': 39.48262786846643}"
81,PLAZA DEL ESPARTO,116,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/116.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37979799625950444, 39.47629928429707], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37979799625950444, 'lat': 39.47629928429707}"
82,JARDIN AYORA 2ª,1210,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1210.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3438070113380863, 39.468147276978435], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3438070113380863, 'lat': 39.468147276978435}"
83,JARDIN MESTRE RIPOL (JARDÍN),1301,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1301.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3385829921370892, 39.472347258371535], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3385829921370892, 'lat': 39.472347258371535}"
89,PLAZA SEGOVIA 8,905,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/905.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39097100499487303, 39.44890975860993], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39097100499487303, 'lat': 39.44890975860993}"
90,MONSEÑOR OSCAR ROMERO,911,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/911.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39112499286561925, 39.445453642533366], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39112499286561925, 'lat': 39.445453642533366}"
91,TRES CRUCES - JARDIN WANGARI MAATHAI (PREMIO NOBEL),933,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/933.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3996360010627447, 39.45306014907322], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3996360010627447, 'lat': 39.45306014907322}"
186,JARDÍN PINTOR PEDRO CABANES,1521,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1521.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3813860121469227, 39.4928398118755], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3813860121469227, 'lat': 39.4928398118755}"
187,PLAZA VICENTE AÑ‘ON MARCO,1634,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1634.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3877289885987558, 39.49477767804829], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3877289885987558, 'lat': 39.49477767804829}"
190,CEMENTERIO GENERAL SECC.19-32,C032,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C032.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3994509868528407, 39.45109176636121], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3994509868528407, 'lat': 39.45109176636121}"
198,ARQUITECTO SEGURA DE LAGO/MARIANO DE CAVIA,826,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/826.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4018830060218708, 39.45261382964219], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4018830060218708, 'lat': 39.45261382964219}"
202,JARDINES DE CERVANTES,114,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/114.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3835470081440182, 39.47811889539724], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3835470081440182, 'lat': 39.47811889539724}"
206,PLAZA SANT BULT,101,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/101.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3704909975711613, 39.47504806430593], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3704909975711613, 'lat': 39.47504806430593}"
207,BERNAT DESCOLL (JARDÍN),1010,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1010.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3781549928085115, 39.45083236607874], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3781549928085115, 'lat': 39.45083236607874}"
208,PIANISTA AMPARO ITURBI / JUAN R. JIMENEZ,1011,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1011.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3759709898916201, 39.45455551043214], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3759709898916201, 'lat': 39.45455551043214}"
214,POLIDEPORTIVO DE NAZARET 1ª,1127,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1127.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3320879936080168, 39.449802397623664], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3320879936080168, 'lat': 39.449802397623664}"
217,"AVDA. BLASCO IBAÑEZ, 128",1316,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1316.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3458819982171675, 39.47338104166148], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3458819982171675, 'lat': 39.47338104166148}"
218,PINTOR FERRER CALATAYUD,1319,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1319.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3370560106872268, 39.467338561720496], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3370560106872268, 'lat': 39.467338561720496}"
219,"POETA DURAN Y TORTAJADA, 20 (JARDIN)",1323,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1323.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3432799873917274, 39.471645354580424], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3432799873917274, 'lat': 39.471645354580424}"
225,CARRETERA D'EN CORTS 178,1038,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1038.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.35614499539163785, 39.44132232598452], 'type': 'Point'}, 'properties': {}}","{'lon': -0.35614499539163785, 'lat': 39.44132232598452}"
229,C/ YAÑEZ DE LA ALMEDINA,1156,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1156.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.33440000013729626, 39.4753799987688], 'type': 'Point'}, 'properties': {}}","{'lon': -0.33440000013729626, 'lat': 39.4753799987688}"
231,MANUELA ESTELLES,1115,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1115.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3345890046150719, 39.47195434499888], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3345890046150719, 'lat': 39.47195434499888}"
242,CAMINO POUET 2,427,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/427.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40496298686088156, 39.47935104251524], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40496298686088156, 'lat': 39.47935104251524}"
247,CEMENTERIO GENERAL SECC.19-22,C022,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C022.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3988499936529596, 39.45008849982862], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3988499936529596, 'lat': 39.45008849982862}"
255,MARQUES DE MONTORTAL / MESTRE MARC‡AL,1504,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1504.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37531700750062186, 39.49364852786008], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37531700750062186, 'lat': 39.49364852786008}"
256,PARQUE DE BENICALAP 2,1620,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1620.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39768698791877144, 39.49806213264524], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39768698791877144, 'lat': 39.49806213264524}"
257,PLAZA MORERAL SIVER (BORBOTO),1705,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1705.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39078000226532994, 39.51565551693828], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39078000226532994, 'lat': 39.51565551693828}"
259,PLAZA ALFREDO CANDEL (CHILE),610,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/610.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.35637700581235526, 39.470703124321965], 'type': 'Point'}, 'properties': {}}","{'lon': -0.35637700581235526, 'lat': 39.470703124321965}"
260,JARDIN AYORA 1,1209,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1209.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.34385898748349325, 39.46711730846805], 'type': 'Point'}, 'properties': {}}","{'lon': -0.34385898748349325, 'lat': 39.46711730846805}"
265,PLAZA DE HONDURAS 2ª,1305,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1305.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3442640002099724, 39.474098204511414], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3442640002099724, 'lat': 39.474098204511414}"
280,GABRIEL MIRO / JUAN LLORENS,305,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/305.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3909870081920343, 39.472221374021316], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3909870081920343, 'lat': 39.472221374021316}"
284,CEMENTERIO GENERAL SECC. 19-47,C047,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C047.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40043801053453276, 39.45093154871162], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40043801053453276, 'lat': 39.45093154871162}"
287,PLAZA CAPITANES GALAN Y GARCIA HERNANDEZ,1411,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1411.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3576940003003479, 39.49197387594808], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3576940003003479, 'lat': 39.49197387594808}"
289,AMPARO ARCE MIRALLES (ACTIVISTA VEÏNAL),1421,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1421.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3581849996148935, 39.489600999165816], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3581849996148935, 'lat': 39.489600999165816}"
292,TURIA Nº 3,315,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/315.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.38526600607594375, 39.47417831275391], 'type': 'Point'}, 'properties': {}}","{'lon': -0.38526600607594375, 'lat': 39.47417831275391}"
294,PARQUE MARCHALENES 2ª ( FRENTE IVADIS ),523,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/523.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3808479901673368, 39.48712158142821], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3808479901673368, 'lat': 39.48712158142821}"
295,PASEO ALAMEDA (FRENTE PISCINA),606,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/606.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3642129896649712, 39.47266769304159], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3642129896649712, 'lat': 39.47266769304159}"
296,JARDIN CASTAN TOBEÑAS,702,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/702.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4034430089849753, 39.47303390425285], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4034430089849753, 'lat': 39.47303390425285}"
116,CARRETERA DEL PI (CASTELLAR),1921,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1921.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3617390088150845, 39.4258537288488], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3617390088150845, 'lat': 39.4258537288488}"
120,ACTOR DANIEL BENÍTEZ,802,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/802.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4006130092088702, 39.45767593324209], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4006130092088702, 'lat': 39.45767593324209}"
122,"JESUS MORANTE BORRAS, FRENTE 85 (JARDÍN)",1020,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1020.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.34402000908050606, 39.447475432786675], 'type': 'Point'}, 'properties': {}}","{'lon': -0.34402000908050606, 'lat': 39.447475432786675}"
128,PLAZA DEL AYUNTAMIENTO,108,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/108.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3765299907372725, 39.47012329046489], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3765299907372725, 'lat': 39.47012329046489}"
132,JARDINES CASTILLO ENGUERA (LA TORRE),1932,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1932.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3930880121074494, 39.435844421106204], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3930880121074494, 'lat': 39.435844421106204}"
133,C/ EP SECTOR LA TORRE F,1959,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1959.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3936679994252686, 39.43120499981455], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3936679994252686, 'lat': 39.43120499981455}"
134,CEMENTERIO GENERAL SECC. 19-16,C016,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C016.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3984340134406213, 39.450302122644054], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3984340134406213, 'lat': 39.450302122644054}"
140,JARDIN PARKING PALAU 3,1617,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1617.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4015749987238428, 39.49840927056261], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4015749987238428, 'lat': 39.49840927056261}"
143,TRES FORQUES/ ALFREDO CULLA,716,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/716.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3971689935742505, 39.46409225360871], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3971689935742505, 'lat': 39.46409225360871}"
149,OTUMBA/AVDA. NEPTUNO,1135,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1135.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3229709857582152, 39.464424133122776], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3229709857582152, 'lat': 39.464424133122776}"
152,PARQUE BENICALAP,1624,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1624.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39669498739462167, 39.496253966247295], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39669498739462167, 'lat': 39.496253966247295}"
153,PASEO MARITIMO (FRENTE POLIDEPORTIVO),1136,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1136.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3245820111484485, 39.47906494086634], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3245820111484485, 'lat': 39.47906494086634}"
154,PASEO MARITIMO (FRENTE PABELLÓN MALVARROSA),1137,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1137.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.32476198643948445, 39.483257293003554], 'type': 'Point'}, 'properties': {}}","{'lon': -0.32476198643948445, 'lat': 39.483257293003554}"
403,IGLESIA PERELLONET,1901,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1901.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.297055005802114, 39.30817413302721], 'type': 'Point'}, 'properties': {}}","{'lon': -0.297055005802114, 'lat': 39.30817413302721}"
161,JARDINES DE MONFORTE 1,614,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/614.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36523899493193157, 39.477905272520466], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36523899493193157, 'lat': 39.477905272520466}"
164,CEMENTERIO CABAÑAL SEC. 5-7,1338,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1338.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3390449874065281, 39.47468948327635], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3390449874065281, 'lat': 39.47468948327635}"
168,CEMENTERIO GENERAL SEC 13,C111,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C111.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.4010950022093575, 39.446876525709385], 'type': 'Point'}, 'properties': {}}","{'lon': -0.4010950022093575, 'lat': 39.446876525709385}"
172,CEMENTERIO DEL PALMAR (LOS JUEVES),1903,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1903.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.31822299942580967, 39.321449278914095], 'type': 'Point'}, 'properties': {}}","{'lon': -0.31822299942580967, 'lat': 39.321449278914095}"
174,CEMENTERIO GENERAL SEC  JUNTO CREMATORIO,C053,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C053.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3961009972014511, 39.44931793110108], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3961009972014511, 'lat': 39.44931793110108}"
177,JULIO VERNE,906,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/906.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3916409902651079, 39.450164794102086], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3916409902651079, 'lat': 39.450164794102086}"
180,PARQUE OESTE FUENTE Nº 3,719,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/719.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39592900866732655, 39.467380522653194], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39592900866732655, 'lat': 39.467380522653194}"
181,CEMENTERIO GENERAL SECC. 19-18,C018,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C018.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39856800550586247, 39.450469969338755], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39856800550586247, 'lat': 39.450469969338755}"
183,CEMENTERIO GENERAL SEC 13,C108,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C108.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.40027099901401236, 39.446872710560605], 'type': 'Point'}, 'properties': {}}","{'lon': -0.40027099901401236, 'lat': 39.446872710560605}"
371,JARDIN IBIZA,1223,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/1223.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3396410048860513, 39.460788726248744], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3396410048860513, 'lat': 39.460788726248744}"
373,CEMENTERIO GENERAL SEC 8 DCHA,C080,http://mapas.valencia.es/WebsMunicipales/layar/img/fuentes/C080.jpg,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3996329902342604, 39.44842910665554], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3996329902342604, 'lat': 39.44842910665554}"
